[0, 0.007, 10, 1, 3]
[1, 0.032, 22, 2, 9]
[2, 0.033, 22, 2, 9]
[5, 0.053, 64, 3, 12]
[3, 0.088, 31, 2, 15]
[6, 0.058, 64, 3, 12]
[9, 0.099, 85, 3, 20]
[7, 0.114, 70, 3, 20]
[4, 0.197, 70, 3, 26]
[8, 0.131, 70, 3, 20]
[10, 0.038, 88, 3, 12]
[11, 0.064, 31, 2, 15]
[13, 0.046, 64, 3, 12]
[14, 0.057, 64, 3, 12]
[15, 0.052, 64, 3, 12]
[17, 0.039, 88, 3, 12]
[12, 0.16, 46, 3, 26]
[16, 0.101, 85, 3, 20]
[19, 0.059, 64, 3, 12]
[18, 0.075, 64, 3, 12]
[23, 0.092, 112, 3, 23]
[21, 0.143, 82, 3, 23]
[22, 0.138, 82, 3, 23]
[20, 0.263, 82, 3, 37]
[25, 0.246, 136, 4, 28]
[26, 0.33, 148, 4, 38]
[29, 0.054, 49, 3, 16]
[24, 0.446, 142, 4, 42]
[28, 0.191, 184, 4, 28]
[31, 0.066, 112, 4, 16]
[30, 0.146, 70, 4, 24]
[32, 0.17, 136, 4, 20]
[27, 0.516, 364, 4, 46]
[34, 0.148, 112, 4, 16]
[36, 0.094, 184, 4, 20]
[35, 0.153, 112, 4, 16]
[37, 0.058, 154, 4, 16]
[38, 0.054, 154, 4, 16]
[39, 0.054, 49, 3, 16]
[40, 0.072, 112, 4, 16]
[41, 0.08, 112, 4, 16]
[42, 0.084, 112, 4, 16]
[43, 0.188, 136, 4, 20]
[44, 0.161, 136, 4, 20]
[45, 0.15, 184, 4, 20]
[47, 0.061, 154, 4, 16]
[46, 0.135, 154, 4, 16]
[48, 0.113, 82, 3, 23]
[50, 0.122, 136, 4, 20]
[51, 0.186, 136, 4, 20]
[49, 0.355, 130, 4, 38]
[52, 0.207, 136, 4, 20]
[53, 0.166, 208, 4, 28]
[54, 0.095, 184, 4, 20]
[33, 1.087, 580, 4, 40]
[55, 0.106, 184, 4, 20]
[56, 0.166, 136, 4, 20]
[58, 0.15, 208, 4, 28]
[57, 0.235, 136, 4, 20]
[59, 0.187, 184, 4, 20]
[60, 0.121, 196, 3, 23]
[63, 0.108, 184, 4, 20]
[65, 0.083, 262, 4, 20]
[64, 0.217, 184, 4, 20]
[67, 0.064, 199, 3, 16]
[61, 0.399, 670, 4, 34]
