cases 17 responses 84
0 self 1 0.0016009700000267912
1 self 1 0.006120119999877716
3 pair 3 0.029777886999909242
4 self 1 0.02683347800007141
2 pair 3 0.054410790000019915
6 pair 3 1.7463829779999287
5 pair 3 2.046229110000013
8 path 6 5.096530153000003
9 path 6 5.28400161400009
10 path 6 4.791520837999997
12 path 6 2.606449047000069
11 common 6 8.089421310000034
13 path 6 2.753219905999913
15 path 6 2.6306034400001863
14 path 6 4.4477675499999805
7 corner 6 22.488309043000072
16 cube 15 43.27764518699996
COMPLETE 17 84
