cases 17 responses 84
0 self 1 0.002117224000016904
1 self 1 0.008800210999993396
4 self 1 0.041053434000019706
3 pair 3 0.04925887399997464
2 pair 3 0.060340838000001895
6 pair 3 1.6379003499999953
5 pair 3 1.8872333580000031
8 path 6 5.054620897000007
10 path 6 4.765052881000003
9 path 6 5.032320725999995
13 path 6 2.752904782999991
12 path 6 2.8489986870000052
15 path 6 2.735727718999982
11 common 6 8.017852188999996
14 path 6 4.617597187000001
7 corner 6 23.073766748000025
16 cube 15 43.908598936999994
COMPLETE 17 84
