cases 17 responses 84
0 self 1 0.0015002750001258391
1 self 1 0.006060316000002786
4 self 1 0.025129615999958332
3 pair 3 0.03021259699971779
2 pair 3 0.05832792899991546
6 pair 3 1.7829399839997677
5 pair 3 1.8848205880003661
8 path 6 5.242121786000098
9 path 6 5.1435621400000855
10 path 6 4.877227848000075
12 path 6 2.607867570000053
11 common 6 7.905122307999591
13 path 6 2.7558690529999694
14 path 6 4.540862925000056
15 path 6 2.7031475250000767
7 corner 6 22.74427733399989
16 cube 15 43.594673407999835
COMPLETE 17 84
