cases 17 responses 84
0 self 1 0.0016662289999658242
1 self 1 0.007385932999909528
4 self 1 0.026177363999977388
3 pair 3 0.03334738099999868
2 pair 3 0.05560850799997752
6 pair 3 1.7247785790000307
5 pair 3 1.9618843759999436
8 path 6 5.671784984000055
10 path 6 4.865937345999896
9 path 6 5.5056257669999695
12 path 6 2.80085120800004
13 path 6 2.8346447149999676
15 path 6 2.8488808380000137
11 common 6 8.39119403899997
14 path 6 4.657661312999949
7 corner 6 23.861686085999963
16 cube 15 43.83130818699999
COMPLETE 17 84
